"","PC1","PC2","group","testvar","name"
"1",-4.96390789233258,-4.78943669056136,"VE","VE","1"
"2",9.15234463149841,-1.13244561852238,"VE","VE","2"
"3",-4.21829119547775,-8.62636964475664,"AT","AT","3"
"4",-9.81633321454564,1.23180768618822,"AT","AT","4"
"5",-0.764317305920194,4.4687663005405,"AT","AT","5"
"6",-10.1777574766583,3.0614099869534,"AT","AT","6"
"7",9.27362820848695,0.667260237278288,"VE","VE","7"
"8",5.37754412931965,-0.572444929139454,"VE","VE","8"
"9",1.92226788228982,-1.27674551862997,"VE","VE","9"
"10",-5.84493084679016,-1.4715041880035,"VE","VE","10"
"11",-4.98804757650868,6.30428960987101,"AT","AT","11"
"12",9.92220851612889,1.69119678108577,"AT","AT","12"
"13",5.12559214050957,0.444215987696089,"AT","AT","13"
